funded_amnt,emp_length,home_ownership,annual_inc,last_pymnt_amnt,mort_acc,int_rate,mo_sin_old_rev_tl_op,avg_cur_bal,acc_open_past_24mths,num_sats,loan_status
20000,10+ years,MORTGAGE,145000,764.11,5,12.88,142,39020,5,12,Fully Paid
14000,2 years,MORTGAGE,60000,331.96,0,14.85,71,6435,3,11,Charged Off
16000,5 years,MORTGAGE,62000,328.19,3,8.49,159,22771,6,10,In Grace Period
28000,2 years,MORTGAGE,85000,663.92,2,14.85,193,14258,4,19,Current
20000,10+ years,OWN,70000,465.27,0,13.99,174,1835,3,20,Charged Off
17600,< 1 year,RENT,44000,465.22,0,19.89,114,19041,1,7,Current
4200,10+ years,MORTGAGE,102500,142.25,7,13.44,203,14073,8,14,Fully Paid
19000,9 years,OWN,75000,10797.99,3,14.85,186,5146,9,15,Fully Paid
15850,10+ years,OWN,45000,13019.99,0,23.13,107,2649,5,18,Fully Paid
10000,10+ years,RENT,42500,222.4,0,11.99,204,4117,3,10,Current
30000,2 years,MORTGAGE,175000,23456.38,3,15.77,220,51015,7,9,Fully Paid
1500,,MORTGAGE,45000,956.75,4,6.49,336,15864,8,12,Fully Paid
25000,1 year,MORTGAGE,150000,752.86,7,5.32,238,61551,1,7,Fully Paid
16250,2 years,MORTGAGE,50000,373.41,2,13.44,308,13412,2,15,Current
20200,4 years,RENT,60000,518.35,0,18.49,74,4322,6,10,Charged Off
23975,10+ years,RENT,70000,633.73,3,19.89,240,6406,2,10,Charged Off
15000,10+ years,MORTGAGE,65000,2536.24,1,10.78,171,12455,3,18,Fully Paid
10000,3 years,MORTGAGE,41600,5756.97,2,10.78,124,9350,5,18,Fully Paid
15000,6 years,MORTGAGE,110000,13308.37,4,8.49,150,20490,7,16,Fully Paid
23100,2 years,OWN,110000,618.46,2,20.5,352,5505,5,11,Charged Off
27300,10+ years,MORTGAGE,65000,977,2,17.27,157,18316,7,14,Charged Off
25000,10+ years,MORTGAGE,135000,23774.59,5,11.48,100,1470,9,16,Fully Paid
15000,1 year,RENT,40000,1464.61,0,10.78,110,2045,2,7,Fully Paid
10000,< 1 year,RENT,30000,9795.24,0,16.59,162,3432,4,19,Fully Paid
18500,10+ years,MORTGAGE,70000,14388.69,2,12.88,162,13763,5,9,Fully Paid
5000,6 years,RENT,32000,156.25,0,7.91,46,1666,5,7,Fully Paid
9000,1 year,OWN,50000,167.11,2,9.17,174,8054,1,5,Fully Paid
11000,10+ years,MORTGAGE,85000,8826.61,0,6.49,121,2927,3,12,Fully Paid
20000,6 years,MORTGAGE,55000,612.85,1,6.49,255,25644,5,9,Fully Paid
15000,,RENT,80000,2244.3,2,5.32,272,13773,6,30,Fully Paid
12000,4 years,MORTGAGE,53750,9219.99,2,5.32,60,17827,3,8,Fully Paid
8000,< 1 year,MORTGAGE,45000,252.27,2,10.78,215,5926,7,27,Fully Paid
12000,3 years,RENT,40000,8659.7,0,10.78,91,2128,3,16,Fully Paid
18000,5 years,MORTGAGE,75000,8073.57,1,7.49,175,25410,7,12,Fully Paid
3600,< 1 year,MORTGAGE,85000,2275.17,1,11.48,129,33919,4,12,Fully Paid
7200,9 years,OWN,20000,257.67,0,17.27,152,913,5,8,Charged Off
15000,4 years,RENT,77213,12793.18,1,13.44,168,9720,7,16,Fully Paid
5000,6 years,OWN,72000,1560.65,2,9.8,43,12915,3,11,Fully Paid
11550,5 years,RENT,38000,284.51,0,16.59,59,1150,4,9,Charged Off
33600,8 years,RENT,104000,33262.93,1,10.78,181,3068,1,14,Fully Paid
17925,10+ years,OWN,39000,448.09,4,17.27,156,10201,4,10,Current
17475,2 years,RENT,39750,597.17,0,13.99,163,5394,3,7,Charged Off
9000,8 years,MORTGAGE,47000,849.93,0,8.49,181,812,5,12,Fully Paid
12000,10+ years,MORTGAGE,65000,8529.37,2,9.8,145,10086,8,18,Fully Paid
4000,2 years,RENT,44500,2491.31,3,9.17,142,1995,3,4,Fully Paid
10500,3 years,RENT,70100,3036.6,0,15.77,88,5265,3,5,Fully Paid
14000,4 years,MORTGAGE,100000,450.79,2,9.8,216,64448,3,7,Fully Paid
6000,10+ years,MORTGAGE,105000,187.74,1,7.91,115,20321,3,9,Fully Paid
16000,10+ years,OWN,90000,363.07,5,12.88,115,28037,3,8,Current
15000,3 years,MORTGAGE,92000,14450.25,6,9.8,169,44714,5,7,Fully Paid
12000,4 years,MORTGAGE,39400,7172.05,2,9.17,111,10214,3,18,Fully Paid
10000,2 years,RENT,33000,329.46,0,11.48,76,1933,6,12,Fully Paid
4200,2 years,RENT,32000,1743.34,0,13.99,72,3887,7,10,Fully Paid
35000,8 years,MORTGAGE,120000,33789.51,3,20.5,115,20010,7,25,Fully Paid
5475,10+ years,MORTGAGE,108000,47.01,2,18.99,192,28774,7,11,Charged Off
16000,2 years,MORTGAGE,60000,323.74,0,7.91,87,4652,1,19,Current
6000,3 years,OWN,38700,1393.81,0,13.44,253,9616,4,4,Fully Paid
24000,10+ years,MORTGAGE,75000,732.08,3,9.17,367,1541,6,13,Fully Paid
10000,< 1 year,RENT,60000,9001.57,2,12.88,132,1682,12,5,Fully Paid
6900,10+ years,RENT,80000,2607.83,0,19.89,126,409,8,10,Fully Paid
22400,10+ years,MORTGAGE,48000,473.74,2,9.8,134,3908,2,9,Current
15975,4 years,MORTGAGE,58800,15662.52,1,16.59,198,1092,4,11,Fully Paid
21600,9 years,MORTGAGE,54000,732.18,6,13.44,174,17954,2,9,Fully Paid
24000,8 years,RENT,82193,558.32,0,13.99,123,6024,3,15,Current
14400,3 years,RENT,73320,377.36,0,19.48,109,4766,6,9,Charged Off
8000,< 1 year,RENT,42000,273.24,0,13.99,115,5121,8,8,Fully Paid
7000,2 years,RENT,83000,1858.16,0,13.99,107,7022,5,11,Fully Paid
20000,< 1 year,OWN,55000,503.38,0,10.78,145,3384,6,18,Fully Paid
25825,6 years,RENT,68000,25,0,26.06,167,4855,9,18,Charged Off
24575,10+ years,MORTGAGE,92000,17616.76,3,22.45,197,12954,5,8,Fully Paid
3200,10+ years,RENT,30407,983.41,0,8.49,190,1561,2,4,Fully Paid
22875,10+ years,MORTGAGE,137000,13092.73,5,15.77,707,40172,13,22,Fully Paid
16000,10+ years,MORTGAGE,80000,379.39,2,14.85,94,12085,8,14,Current
35000,< 1 year,MORTGAGE,125000,20564.41,8,13.44,114,37250,6,15,Fully Paid
2400,2 years,MORTGAGE,52000,1106.34,0,17.27,173,2803,9,16,Fully Paid
25000,,MORTGAGE,132000,777.17,3,7.49,496,5619,6,14,Fully Paid
8800,2 years,RENT,55000,1170.18,0,12.88,70,4767,11,20,Fully Paid
2500,,RENT,16488,82.26,0,11.48,104,2045,5,12,Fully Paid
8000,1 year,RENT,50000,6999.45,0,5.32,157,2817,7,21,Fully Paid
20000,10+ years,MORTGAGE,78000,50,6,11.99,192,19371,6,15,Charged Off
35000,10+ years,MORTGAGE,110000,794.21,2,12.88,384,17708,5,19,Charged Off
15000,,MORTGAGE,45000,7587.5,2,7.49,182,24258,1,10,Fully Paid
16000,1 year,MORTGAGE,70000,560.7,1,15.77,141,25497,5,7,Charged Off
10800,3 years,RENT,40000,8450.13,0,13.99,72,3625,2,7,Fully Paid
7500,10+ years,OWN,15000,6611.94,0,17.97,208,2149,1,8,Fully Paid
16000,5 years,RENT,63000,522.16,0,10.78,108,5728,4,12,Charged Off
9000,10+ years,MORTGAGE,49000,6678.01,0,5.32,289,2847,4,18,Fully Paid
9500,10+ years,RENT,28000,8373.67,0,15.77,94,2110,6,7,Fully Paid
10000,2 years,OWN,25000,350,0,7.91,86,1590,6,16,Charged Off
6000,10+ years,MORTGAGE,49000,4025.61,1,7.91,133,27437,6,10,Fully Paid
15600,10+ years,MORTGAGE,52000,12096.11,3,13.44,250,16099,2,6,Fully Paid
35000,< 1 year,OWN,90000,22713.41,3,8.49,290,54280,2,11,Fully Paid
5000,9 years,MORTGAGE,78000,1892.09,1,11.48,246,8432,7,19,Fully Paid
20400,2 years,MORTGAGE,75000,18930.43,3,18.49,387,11093,6,22,Fully Paid
8000,,MORTGAGE,33130,289.1,1,17.97,259,12995,5,18,Charged Off
16000,3 years,RENT,87500,3065.33,0,10.78,95,2647,3,13,Fully Paid
18000,10+ years,MORTGAGE,80000,563.31,1,7.91,157,16813,3,5,Charged Off
35000,1 year,RENT,105000,28360.86,1,9.17,246,10387,1,11,Fully Paid
13150,1 year,RENT,40000,1966.79,0,5.32,175,2236,2,13,Fully Paid
5600,8 years,RENT,48000,3930.74,1,9.17,245,2645,8,8,Fully Paid
23000,9 years,MORTGAGE,90247,7176.79,2,9.8,187,16910,6,11,Fully Paid
12600,1 year,MORTGAGE,175000,12758.61,4,14.85,316,8061,8,14,Fully Paid
11000,8 years,MORTGAGE,55000,4826.13,3,16.59,182,43498,4,6,Fully Paid
4000,3 years,RENT,41501,1030.14,0,11.99,32,10293,5,8,Fully Paid
20000,9 years,MORTGAGE,75000,459.58,1,13.44,142,18797,5,16,Current
20000,5 years,RENT,60000,3250.36,0,11.48,180,3939,3,10,Fully Paid
10000,10+ years,MORTGAGE,59307,638.18,1,9.17,230,8407,3,17,Fully Paid
18850,< 1 year,MORTGAGE,55000,35.74,8,21.48,100,21458,11,11,Charged Off
21000,10+ years,MORTGAGE,82000,20052.89,2,11.99,315,7201,13,18,Fully Paid
10500,4 years,MORTGAGE,60000,4458.64,5,8.49,139,8926,3,13,Fully Paid
4575,5 years,RENT,56000,163.73,1,17.27,175,198,11,12,Charged Off
5000,1 year,RENT,17000,1739.41,0,11.48,45,6916,4,8,Fully Paid
8000,,MORTGAGE,45000,246.61,1,6.99,159,28824,2,12,Fully Paid
5000,1 year,RENT,30000,166.05,0,11.99,128,493,8,12,Charged Off
9075,10+ years,MORTGAGE,40000,3990.79,3,5.32,375,8372,0,15,Fully Paid
24000,2 years,MORTGAGE,75181.21,544.61,4,12.88,190,23030,5,13,Current
12500,10+ years,RENT,52000,7026.68,0,7.49,140,2002,0,5,Fully Paid
19600,8 years,MORTGAGE,80000,497.96,2,15.77,146,24412,8,15,Charged Off
35000,2 years,MORTGAGE,90000,7315.86,1,13.99,33,40315,3,5,Fully Paid
28000,1 year,MORTGAGE,75000,17440.21,3,8.49,101,22858,3,16,Fully Paid
14000,1 year,RENT,45500,338.75,0,15.77,414,4165,5,10,Charged Off
16000,,MORTGAGE,99906,514.53,4,9.8,269,42637,6,10,Fully Paid
14000,4 years,RENT,120000,320.89,0,5.32,193,1409,4,13,Fully Paid
24000,8 years,MORTGAGE,72000,6640.18,0,8.49,134,4987,8,16,Fully Paid
35000,6 years,OWN,75000,33804.36,1,13.99,159,3255,3,17,Fully Paid
14550,10+ years,MORTGAGE,70000,352.06,5,15.77,459,30813,2,12,Current
8000,< 1 year,RENT,21610,4421.4,0,11.48,72,2858,3,9,Fully Paid
32400,10+ years,MORTGAGE,106284,685.23,2,9.8,314,10159,5,33,Current
3600,1 year,RENT,25000,1601.37,0,13.44,102,3579,7,23,Fully Paid
10500,10+ years,MORTGAGE,110000,8908.46,4,13.99,209,8783,8,19,Fully Paid
3000,10+ years,MORTGAGE,105000,197.3,2,11.48,257,27070,9,11,Fully Paid
16000,2 years,RENT,43000,567.76,0,14.85,63,1558,10,13,Fully Paid
8000,10+ years,MORTGAGE,57000,248.55,2,7.49,189,6376,5,19,Fully Paid
19500,< 1 year,RENT,85000,609.4,0,7.49,138,5327,0,8,Fully Paid
2000,8 years,MORTGAGE,140000,1960.21,2,8.49,361,113218,1,7,Fully Paid
16000,8 years,MORTGAGE,96000,11893.96,6,5.32,139,8705,5,23,Fully Paid
3500,8 years,MORTGAGE,122400,2304.88,5,10.78,225,24122,11,16,Fully Paid
14000,4 years,RENT,94000,291.78,4,9.17,273,37787,4,11,Current
24000,3 years,OWN,95000,1604.44,0,11.48,86,7237,5,9,Fully Paid
6000,2 years,OWN,120000,4465.28,0,5.32,183,663,2,14,Fully Paid
24000,9 years,MORTGAGE,100000,750.95,1,7.91,271,8364,3,21,Fully Paid
14875,3 years,RENT,37231,381.71,1,18.49,186,2045,14,24,Charged Off
10000,7 years,RENT,45000,7668.51,2,11.99,354,2846,10,19,Fully Paid
15000,2 years,MORTGAGE,93000,8796.87,1,6.99,208,38304,3,8,Fully Paid
10000,10+ years,RENT,68000,3821.15,5,5.32,338,2929,1,11,Fully Paid
18000,10+ years,OWN,97000,375.14,2,9.17,105,32246,4,13,Current
24000,10+ years,RENT,97000,20806.23,1,19.48,220,2283,5,14,Fully Paid
23525,5 years,MORTGAGE,70000,18943.68,2,17.97,211,16394,0,13,Fully Paid
12000,10+ years,OWN,68000,250.1,0,9.17,199,1827,9,20,Current
11000,10+ years,RENT,297000,1420.01,7,10.78,284,5724,0,12,Fully Paid
24000,2 years,MORTGAGE,210000,764.85,1,9.17,160,31139,7,18,Fully Paid
15000,8 years,RENT,42900,369.49,0,16.59,181,12531,3,10,Current
16000,10+ years,MORTGAGE,140000,504.87,2,8.49,96,12926,6,19,Fully Paid
15000,5 years,RENT,90000,4486,0,7.91,168,4782,2,19,Charged Off
5000,8 years,MORTGAGE,60000,166.05,3,11.99,81,12691,3,13,Charged Off
19100,10+ years,MORTGAGE,115000,413.19,5,10.78,201,37084,2,8,Current
15000,3 years,OWN,85000,8216.57,0,10.78,74,2134,3,16,Fully Paid
30000,2 years,MORTGAGE,85000,769.83,2,18.49,146,9300,10,21,Current
15000,10+ years,RENT,60000,15154.39,3,9.8,456,5016,10,19,Fully Paid
3500,10+ years,RENT,105000,0.59,0,13.99,354,6722,3,9,Fully Paid
20000,2 years,RENT,130000,5038.26,0,9.17,50,4707,7,8,Fully Paid
10000,7 years,RENT,30160,229.79,0,13.44,74,3606,0,5,Current
35000,9 years,MORTGAGE,132500,23556.83,5,18.49,149,22471,3,16,Fully Paid
16000,10+ years,RENT,90000,379.39,0,14.85,157,2805,5,13,Late (31-120 days)
2000,10+ years,MORTGAGE,180000,455.17,3,11.99,379,29468,4,10,Fully Paid
12000,2 years,RENT,39500,385.69,0,9.8,134,3898,5,9,Fully Paid
8000,1 year,MORTGAGE,80000,7233.3,2,6.99,99,18499,5,17,Fully Paid
10000,10+ years,MORTGAGE,92000,321.74,5,9.8,158,26098,2,8,Charged Off
25000,10+ years,RENT,76500,505.84,3,7.91,167,6447,2,8,Current
35000,10+ years,RENT,100000,680.03,5,13.99,359,4049,1,12,Fully Paid
25600,3 years,OWN,150000,4848.59,2,7.91,130,75372,2,10,Fully Paid
4325,10+ years,OWN,90000,143.26,3,11.99,220,11942,6,16,Fully Paid
6000,10+ years,OWN,48000,185.05,0,6.99,392,2219,9,18,Fully Paid
18200,8 years,RENT,65000,440.37,2,15.77,127,4210,11,27,Charged Off
10000,3 years,RENT,54000,308.54,0,6.99,147,3307,1,11,Fully Paid
30000,5 years,MORTGAGE,81000,15175.22,2,13.44,319,15147,0,12,Fully Paid
13200,2 years,MORTGAGE,150000,11231.02,12,5.32,233,26131,6,14,Fully Paid
10000,5 years,RENT,220000,9597.78,2,6.99,124,3348,4,8,Fully Paid
3000,5 years,MORTGAGE,75000,0.29,2,11.48,140,18251,11,13,Fully Paid
20000,10+ years,OWN,96000,3135.21,0,9.8,237,4716,4,9,Fully Paid
13875,10+ years,MORTGAGE,32500,11101.71,1,11.99,177,17421,3,7,Fully Paid
18000,10+ years,MORTGAGE,76000,4869.49,4,6.49,160,15943,4,19,Fully Paid
15225,3 years,OWN,40000,480.55,0,8.49,199,5294,6,12,Charged Off
16000,6 years,RENT,65000,351.73,2,11.48,178,2725,3,13,Charged Off
21000,7 years,RENT,125000,444.13,0,9.8,151,1197,8,16,Charged Off
13000,< 1 year,RENT,40000,320.23,0,16.59,177,4240,5,6,Charged Off
20000,5 years,OWN,120000,12930.2,2,7.91,339,796,6,19,Fully Paid
31075,10+ years,RENT,70000,27333.39,3,7.49,296,15000,2,10,Fully Paid
18000,10+ years,OWN,120000,555.52,3,6.99,385,24292,2,7,Fully Paid
5000,,MORTGAGE,74967,4936.69,7,9.17,206,33765,7,9,Fully Paid
4675,< 1 year,MORTGAGE,13000,167.1,0,17.27,229,7871,2,6,Fully Paid
6000,4 years,MORTGAGE,85140,5178.59,1,9.8,45,35834,7,11,Fully Paid
12000,10+ years,MORTGAGE,90000,8793,4,12.88,164,2215,5,11,Fully Paid
13000,10+ years,RENT,115000,8646.13,2,13.99,172,3183,7,9,Fully Paid
1800,10+ years,RENT,50000,292.89,0,11.48,167,2382,4,9,Fully Paid
4475,10+ years,RENT,114000,158.38,1,16.59,185,1621,4,5,Fully Paid
14400,8 years,MORTGAGE,70000,957.34,1,6.49,149,11612,5,21,Fully Paid
5875,5 years,RENT,70000,4.12,0,7.91,157,2412,4,9,Fully Paid
20000,7 years,MORTGAGE,180000,15283.34,2,17.97,320,23102,4,13,Fully Paid
10000,5 years,MORTGAGE,115000,7236.91,5,6.99,162,24443,5,17,Fully Paid
34100,8 years,MORTGAGE,92892,16469.98,2,12.88,253,18629,3,13,Fully Paid
24000,3 years,RENT,56457,755.16,0,11.48,132,4570,0,5,Fully Paid
30000,8 years,MORTGAGE,300000,769.83,1,18.49,107,45240,7,10,Current
5200,7 years,MORTGAGE,160000,338,4,10.78,337,12239,3,6,Fully Paid
16800,< 1 year,RENT,50000,10636.64,0,11.99,116,12664,7,10,Fully Paid
10000,7 years,RENT,40000,332.44,0,11.99,61,1934,1,4,Fully Paid
22000,10+ years,MORTGAGE,55000,153.79,1,17.97,185,23398,3,10,Fully Paid
28000,10+ years,MORTGAGE,144000,6655.09,1,5.32,434,13190,2,15,Fully Paid
7200,10+ years,MORTGAGE,60000,3196.17,1,6.49,159,13026,4,3,Fully Paid
18000,9 years,RENT,41000,1752.75,0,11.99,79,4677,6,12,Fully Paid
8400,1 year,OWN,30000,261.01,0,7.49,100,4911,5,9,Fully Paid
5000,2 years,RENT,67000,3.93,0,14.85,106,6835,11,18,Fully Paid
5000,10+ years,RENT,55000,160.87,0,9.8,119,2669,3,6,Charged Off
2400,5 years,MORTGAGE,60000,79.12,1,11.48,96,17893,5,10,Charged Off
15000,9 years,OWN,60000,4443.59,0,5.32,332,2939,4,8,Fully Paid
6075,9 years,MORTGAGE,64400,4761.92,2,9.17,192,19661,13,17,Fully Paid
20000,2 years,RENT,55000,652.39,0,10.78,101,4309,3,11,Fully Paid
6025,10+ years,RENT,110000,6143.31,2,14.85,194,4198,10,17,Fully Paid
8400,2 years,MORTGAGE,70000,3084.26,2,9.17,204,19244,1,7,Fully Paid
15000,2 years,RENT,90000,10034.99,5,12.88,196,3304,7,14,Fully Paid
19200,10+ years,MORTGAGE,72000,393.83,5,8.49,261,29488,4,15,Current
12000,< 1 year,MORTGAGE,143000,1000.45,2,15.77,151,44605,4,8,Fully Paid
28800,8 years,MORTGAGE,60000,968.38,0,12.88,233,3146,2,9,Fully Paid
5000,10+ years,MORTGAGE,60000,4782.04,2,5.32,169,58048,1,7,Fully Paid
5000,7 years,MORTGAGE,60000,1.31,1,12.88,95,4113,2,9,Fully Paid
31500,10+ years,MORTGAGE,120000,10596.15,2,11.99,222,91632,4,7,Fully Paid
24000,10+ years,RENT,165000,23809.41,2,18.49,189,4558,6,13,Fully Paid
20000,< 1 year,MORTGAGE,110000,930.37,5,12.88,346,15935,5,18,Charged Off
24000,2 years,MORTGAGE,110000,13829.07,4,10.78,390,13293,8,15,Fully Paid
21850,10+ years,MORTGAGE,65000,17455.86,4,17.27,376,15069,4,9,Fully Paid
9500,10+ years,MORTGAGE,126500,3.92,8,6.49,235,22028,10,14,Fully Paid
20000,10+ years,MORTGAGE,98000,15597.75,5,8.49,243,28068,2,11,Fully Paid
20000,8 years,RENT,59000,959.58,2,13.44,196,3634,7,22,Current
20000,10+ years,MORTGAGE,135000,492.66,1,16.59,119,8269,4,18,Charged Off
20000,< 1 year,RENT,65000,10069.02,0,12.88,149,1772,3,16,Fully Paid
25200,2 years,MORTGAGE,78000,579.07,2,13.44,246,46751,2,7,Current
12000,10+ years,MORTGAGE,50000,6698.36,1,6.99,179,13586,2,13,Fully Paid
10000,10+ years,MORTGAGE,65000,3225,1,12.88,112,2847,6,11,Fully Paid
12000,10+ years,MORTGAGE,36500,10696.74,2,9.8,428,11811,2,10,Fully Paid
12000,8 years,MORTGAGE,75000,9160.1,2,7.91,148,53477,0,4,Fully Paid
6425,1 year,RENT,41000,224.93,0,15.77,165,119,4,4,Fully Paid
12700,3 years,RENT,32760,458.68,0,17.97,129,1300,19,21,Fully Paid
35000,10+ years,OWN,121000,26196.56,0,13.99,377,1370,24,26,Fully Paid
16000,5 years,MORTGAGE,110000,367.67,2,13.44,219,11491,4,16,Current
15000,2 years,OWN,48000,512.6,0,13.99,33,8119,6,6,Charged Off
20550,10+ years,RENT,60000,20636.72,4,16.59,163,24190,3,12,Fully Paid
25000,10+ years,MORTGAGE,127000,767.54,3,6.99,373,14295,3,10,Fully Paid
14000,10+ years,RENT,115000,503.5,0,19.48,107,5439,8,7,Fully Paid
16925,10+ years,RENT,47000,462.46,3,21.48,214,7702,7,10,Charged Off
4700,3 years,RENT,22000,14.34,0,13.44,88,1345,9,12,Fully Paid
5000,,OWN,25000,627.42,0,8.49,341,484,5,17,Fully Paid
12000,2 years,MORTGAGE,92500,439.99,2,14.85,153,2150,6,11,Fully Paid
12000,10+ years,RENT,55000,5127.5,0,9.8,111,885,7,9,Fully Paid
15000,1 year,MORTGAGE,117000,7963.75,1,6.99,186,219353,1,4,Fully Paid
4900,2 years,MORTGAGE,123000,1430.41,2,13.44,331,60195,3,7,Fully Paid
18000,< 1 year,MORTGAGE,70000,559.8,4,7.49,179,16528,4,10,Fully Paid
18000,5 years,RENT,48000,426.81,0,14.85,198,2753,5,15,Charged Off
25000,10+ years,MORTGAGE,120000,894.69,2,17.27,133,4334,5,17,Charged Off
15000,10+ years,MORTGAGE,50000,1241.36,4,12.88,136,20668,5,12,Fully Paid
3600,1 year,MORTGAGE,97000,1467.9,2,11.48,120,15358,9,16,Fully Paid
33000,5 years,MORTGAGE,92250,9148.19,4,8.49,98,40057,6,8,Fully Paid
